"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 07, 2020","3.33","2.88","3.37","2.88","83.30K","15.38%"
"Feb 06, 2020","2.88","2.84","2.94","2.80","15.03K","1.53%"
"Feb 05, 2020","2.84","2.73","2.88","2.73","12.40K","4.13%"
"Feb 04, 2020","2.73","2.79","2.79","2.68","16.96K","-2.37%"
"Feb 03, 2020","2.79","2.82","2.87","2.76","4.32K","-0.90%"
"Feb 02, 2020","2.82","2.81","2.88","2.74","8.42K","0.42%"
"Feb 01, 2020","2.81","2.85","2.88","2.76","6.69K","-1.41%"
"Jan 31, 2020","2.85","2.90","2.90","2.78","4.99K","-1.89%"
"Jan 30, 2020","2.90","2.77","2.94","2.72","20.21K","4.78%"
"Jan 29, 2020","2.77","2.64","2.83","2.64","23.47K","5.13%"
